Record ID number,Order,Family,Species,Selection history,Plant growth form,Duration,Study code,Country,Location,Latitude,Longitude,Coordinates notes,KG climate simple,KG climate full,Habitat description,Population information,Population origin,Year,Season,Month,Standing or marked leaves,Leaf age,Area measurement method,Sampling details,Length of marking (days),Data source,Annual herbivory rate (%),Annual error estimate,Annual error value,Number of replicates,Daily herbivory rate (%),Daily error estimate,Daily error value,Consumers
1049,Lamiales,Lamiaceae,Hyptis saxatilis,Wild,Shrub,Perennial,mDO,Brazil,Fazenda Agua Limpa ,15d56_S,44d55_W,Coordinates from the article,Tropical,Tropical savannah ,Savanna,NA,Natural,1991,Dry,August,Standing,Mature,Automatic,5 leaves sampled per plant (5 plants) at 3 times (only August 1991 measurement used),NA,P.138 Figure 3a,5.12195122,SE,1.138211382,5,NA,NA,NA,Insecta (general)
47,Aquifoliales,Aquifoliaceae,Ilex paraguariensis,Wild,"Tree, shrub",Perennial,cDZ,Tanzania,"Amani Botanical Garden, East Usambara Mountains",5d05'30''S,38d38'10''E,Coordinates from the article,Tropical,Tropical rainforest ,Forest,Submontane,Natural,2007,Dry (start),June,Standing,Mature,Grid,4 expanded leaves closest to apical meristem sampled in nonbranching species; 4 leaves closest to tip sampled in branching species,NA,P.143 Table 1,3.74,SE,1.18,18,NA,NA,NA,NA
465,Ericales,Balsaminaceae,Impatiens capensis,Wild,Forb/herb,Annual,mCQ,USA,North Carolina," 35d43'14.77""N"," 78d41'21.29""W",From author,Temperate,Temperate without dry season and hot summer,"Wetland, pond edge",1,Natural,2009,Fall,August,Standing,Mature,Visual,Up to 10 leaves sampled prior to senescence for up to 10 plants per population,NA,Raw data (using plant mean values),3.72,SD,3.105836799,10,NA,NA,NA,NA
466,Ericales,Balsaminaceae,Impatiens capensis,Wild,Forb/herb,Annual,mCQ,USA,North Carolina," 35d43'19.20""N","78d41'26.34""W",From author,Temperate,Temperate without dry season and hot summer,"Wetland, pond edge",2,Natural,2009,Fall,August,Standing,Mature,Visual,Up to 10 leaves sampled prior to senescence for up to 10 plants per population,NA,Raw data (using plant mean values),2.35,SD,2.01342715,10,NA,NA,NA,NA
467,Ericales,Balsaminaceae,Impatiens capensis,Wild,Forb/herb,Annual,mCQ,USA,North Carolina," 35d48'19.27""N"," 78d41'45.64""W",From author,Temperate,Temperate without dry season and hot summer,Field,3,Natural,2009,Fall,August,Standing,Mature,Visual,Up to 10 leaves sampled prior to senescence for up to 10 plants per population,NA,Raw data (using plant mean values),2.44,SD,2.748009381,10,NA,NA,NA,NA
468,Ericales,Balsaminaceae,Impatiens capensis,Wild,Forb/herb,Annual,mCQ,USA,North Carolina," 35d46'48.76""N"," 78d40'3.43""W",From author,Temperate,Temperate without dry season and hot summer,Field,4,Natural,2009,Fall,September,Standing,Mature,Visual,Up to 10 leaves sampled prior to senescence for up to 10 plants per population,NA,Raw data (using plant mean values),1.13,SD,1.910817161,10,NA,NA,NA,NA
469,Ericales,Balsaminaceae,Impatiens capensis,Wild,Forb/herb,Annual,mCQ,USA,SW Virginia,"36d30'21.96""N","79d22'20.54""W",From author,Temperate,Temperate without dry season and hot summer,Forest edge,5,Natural,2009,Fall,September,Standing,Mature,Visual,Up to 10 leaves sampled prior to senescence for up to 10 plants per population,NA,Raw data (using plant mean values),1.24,SD,1.221292576,10,NA,NA,NA,NA
470,Ericales,Balsaminaceae,Impatiens capensis,Wild,Forb/herb,Annual,mCQ,USA,SW Virginia," 36d 4'16.47""N"," 78d54'35.47""W",From author,Temperate,Temperate without dry season and hot summer,Pond edge,6,Natural,2009,Fall,September,Standing,Mature,Visual,Up to 10 leaves sampled prior to senescence for up to 10 plants per population,NA,Raw data (using plant mean values),1.15,SD,1.350925609,10,NA,NA,NA,NA
619,Fabales,Fabaceae,Inga acuminata,Wild,Tree,Perennial,cCC,Panama,Barro Colorado Island,9d09'N,79d51'W,Coordinates from the article,Tropical,Tropical monsoon ,Forest,NA,Natural,"2000, 2001, 2002, 2003, 2004",All seasons,All year,Marked,Expanding,Grid,"New leaves measured monthly, only during expansion",NA,P.3060 Table 1,23.3,NA,NA,100,NA,NA,NA,Lepidoptera (Insecta)
620,Fabales,Fabaceae,Inga cocleensis,Wild,Tree,Perennial,cCC,Panama,Barro Colorado Island,9d09'N,79d51'W,Coordinates from the article,Tropical,Tropical monsoon ,Forest,NA,Natural,"2000, 2001, 2002, 2003, 2004",All seasons,All year,Marked,Expanding,Grid,"New leaves measured monthly, only during expansion",NA,P.3060 Table 1,23.6,NA,NA,100,NA,NA,NA,Lepidoptera (Insecta)
621,Fabales,Fabaceae,Inga goldmanii,Wild,Tree,Perennial,cBK,Panama,Barro Colorado Island,9d09'N,79d51'W,Coordinates from the article,Tropical,Tropical monsoon ,Semidecidusous forest,NA,Natural,"2000, 2001, 2002, 2003, 2004",All seasons,All year,Marked,Expanding,NA,"4 years of monthly marking, and measuring herbivory at the end of expansion on 1-3 metre saplings",NA,Appendix B,22.8,NA,NA,149,NA,NA,NA,Insecta (general)
622,Fabales,Fabaceae,Inga goldmanii,Wild,Tree,Perennial,cCC,Panama,Barro Colorado Island,9d09'N,79d51'W,Coordinates from the article,Tropical,Tropical monsoon ,Forest,NA,Natural,"2000, 2001, 2002, 2003, 2004",All seasons,All year,Marked,Expanding,Grid,"New leaves measured monthly, only during expansion",NA,P.3060 Table 1,22.8,NA,NA,100,NA,NA,NA,Lepidoptera (Insecta)
623,Fabales,Fabaceae,Inga heterophylla,Wild,Tree,Perennial,mDM,Peru,"In Loreto, Peru : the Allpahuayo-Mishana Reserve in the north, the Jenaro Herrera Center of Investigation and the Mats_s Reserved Zone in the south, and the Morona river basin in the west;",multiple sites (approx.): 3d10'N-5d50'N,multiple sites (approx.): 74d10'W-77d30'W,"Not Specified, but previous study  suggests : In Loreto, Peru : the Allpahuayo-Mishana Reserve in the north, the Jenaro Herrera Center of Investigation and the Mats_s Reserved Zone in the south, and the Morona river basin in the west; and in French Guiana these included the Laussat Conservation Area in the northwest, the Trinit_ Reserve in the southwest, the Nouragues Reserve in the southeast, and the Petite Montagne Tortue Conservation Area in the northeast. : Baraloto, C., Rabaud, S., Molto, Q., Blanc, L., Fortunel, C., H_rault, B., D_vila, N., Mesones, I., R_os, M., Valderrama E., and P.V.A. Fine. 2011. Disentangling stand and environmentalcorrelates of aboveground biomass in Amazonian forests. Global Change Biology 17:2677-2688.",Various,"Tropical (rainforest, monsoon, savannah) & Temperate dry summer warm summer",Forest,White-sand forest,Natural,2011,Wet,All year,Marked,Expanding,Grid,5-8 newly expanding leaves from saplings marked and censused bi-weekly until fully expanded (10 months),NA,Species level data provided by author,5,SD,4.2,4,NA,NA,NA,Insecta (general)
624,Fabales,Fabaceae,Inga laurina,Wild,Tree,Perennial,cCC,Panama,Barro Colorado Island,9d09'N,79d51'W,Coordinates from the article,Tropical,Tropical monsoon ,Forest,NA,Natural,"2000, 2001, 2002, 2003, 2004",All seasons,All year,Marked,Expanding,Grid,"New leaves measured monthly, only during expansion",NA,P.3060 Table 1,31.4,NA,NA,100,NA,NA,NA,Lepidoptera (Insecta)
625,Fabales,Fabaceae,Inga marginata,Wild,Tree,Perennial,cCC,Panama,Barro Colorado Island,9d09'N,79d51'W,Coordinates from the article,Tropical,Tropical monsoon ,Forest,NA,Natural,"2000, 2001, 2002, 2003, 2004",All seasons,All year,Marked,Expanding,Grid,"New leaves measured monthly, only during expansion",NA,P.3060 Table 1,40.6,NA,NA,100,NA,NA,NA,Lepidoptera (Insecta)
626,Fabales,Fabaceae,Inga marginata,Wild,Tree,Perennial,mCU,Panama,"Gunn Hill, Ciudad de Saver and Smithsonian Tropical Research Institute, Parque Nacional San Lorenzo",multiple sites: 9d00'14''N (Gunn Hill) & 9d21'41''N (Parque Nacional San Lorenzo),multiple sites: 79d34'50''W (Gunn Hill) & 79d57'11''W (Parque Nacional San Lorenzo),From Google Earth,Tropical,Tropical monsoon & savannah,Deciduous forest,NA,Planted,2006,Dry,November,Standing,Mature,Grid,3-4 apical leaves sampled,NA,Appendix 8 (multiplied values by 100; only control treatments; using total leaf damage since it includes types of leaf consumption other than chewing),11.6,SD,10,10,NA,NA,NA,Insecta (general)
627,Fabales,Fabaceae,Inga marginata,Wild,Tree,Perennial,mCU,Panama,"Gunn Hill, Ciudad de Saver and Smithsonian Tropical Research Institute, Parque Nacional San Lorenzo",multiple sites: 9d00'14''N (Gunn Hill) & 9d21'41''N (Parque Nacional San Lorenzo),multiple sites: 79d34'50''W (Gunn Hill) & 79d57'11''W (Parque Nacional San Lorenzo),From Google Earth,Tropical,Tropical monsoon & savannah,Evergreen forest,NA,Planted,2006,Dry,November,Standing,Mature,Grid,3-4 apical leaves sampled,NA,Appendix 8 (multiplied values by 100; only control treatments; using total leaf damage since it includes types of leaf consumption other than chewing),38,SD,30.4,9,NA,NA,NA,Insecta (general)
628,Fabales,Fabaceae,Inga multijuga,Wild,Tree,Perennial,cCC,Panama,Barro Colorado Island,9d09'N,79d51'W,Coordinates from the article,Tropical,Tropical monsoon ,Forest,NA,Natural,"2000, 2001, 2002, 2003, 2004",All seasons,All year,Marked,Expanding,Grid,"New leaves measured monthly, only during expansion",NA,P.3060 Table 1,42.5,NA,NA,100,NA,NA,NA,Lepidoptera (Insecta)
629,Fabales,Fabaceae,Inga nobilis,Wild,Tree,Perennial,cCC,Panama,Barro Colorado Island,9d09'N,79d51'W,Coordinates from the article,Tropical,Tropical monsoon ,Forest,NA,Natural,"2000, 2001, 2002, 2003, 2004",All seasons,All year,Marked,Expanding,Grid,"New leaves measured monthly, only during expansion",NA,P.3060 Table 1,24.3,NA,NA,100,NA,NA,NA,Lepidoptera (Insecta)
630,Fabales,Fabaceae,Inga pezizifera,Wild,Tree,Perennial,cCC,Panama,Barro Colorado Island,9d09'N,79d51'W,Coordinates from the article,Tropical,Tropical monsoon ,Forest,NA,Natural,"2000, 2001, 2002, 2003, 2004",All seasons,All year,Marked,Expanding,Grid,"New leaves measured monthly, only during expansion",NA,P.3060 Table 1,25.4,NA,NA,100,NA,NA,NA,Lepidoptera (Insecta)
631,Fabales,Fabaceae,Inga pezizifera,Wild,Tree,Perennial,mDM,French Guiana,NA,multiple sites (approx.): 5d31'N-3d30'N,multiple sites (approx.): 52d10'W-53d10'W,"Not Specified, but previous study  suggests : In Loreto, Peru : the Allpahuayo-Mishana Reserve in the north, the Jenaro Herrera Center of Investigation and the Mats_s Reserved Zone in the south, and the Morona river basin in the west; and in French Guiana these included the Laussat Conservation Area in the northwest, the Trinit_ Reserve in the southwest, the Nouragues Reserve in the southeast, and the Petite Montagne Tortue Conservation Area in the northeast. : Baraloto, C., Rabaud, S., Molto, Q., Blanc, L., Fortunel, C., H_rault, B., D_vila, N., Mesones, I., R_os, M., Valderrama E., and P.V.A. Fine. 2011. Disentangling stand and environmentalcorrelates of aboveground biomass in Amazonian forests. Global Change Biology 17:2677-2688.",Tropical,Tropical monsoon ,Forest,Terra firme clay forest,Natural,2010,"Dry, wet","March, April, May, June, July, August, September, October, November, December",Marked,Expanding,Grid,5-8 newly expanding leaves from saplings marked and censused bi-weekly until fully expanded (10 months),NA,Species level data provided by author,11.2,SD,9.4,9,NA,NA,NA,Insecta (general)
632,Fabales,Fabaceae,Inga sapindoides,Wild,Tree,Perennial,cCC,Panama,Barro Colorado Island,9d09'N,79d51'W,Coordinates from the article,Tropical,Tropical monsoon ,Forest,NA,Natural,"2000, 2001, 2002, 2003, 2004",All seasons,All year,Marked,Expanding,Grid,"New leaves measured monthly, only during expansion",NA,P.3060 Table 1,22.4,NA,NA,100,NA,NA,NA,Lepidoptera (Insecta)
633,Fabales,Fabaceae,Inga semialata,Wild,Tree,Perennial,mDM,Peru,"In Loreto, Peru : the Allpahuayo-Mishana Reserve in the north, the Jenaro Herrera Center of Investigation and the Mats_s Reserved Zone in the south, and the Morona river basin in the west;",multiple sites (approx.): 3d10'N-5d50'N,multiple sites (approx.): 74d10'W-77d30'W,"Not Specified, but previous study  suggests : In Loreto, Peru : the Allpahuayo-Mishana Reserve in the north, the Jenaro Herrera Center of Investigation and the Mats_s Reserved Zone in the south, and the Morona river basin in the west; and in French Guiana these included the Laussat Conservation Area in the northwest, the Trinit_ Reserve in the southwest, the Nouragues Reserve in the southeast, and the Petite Montagne Tortue Conservation Area in the northeast. : Baraloto, C., Rabaud, S., Molto, Q., Blanc, L., Fortunel, C., H_rault, B., D_vila, N., Mesones, I., R_os, M., Valderrama E., and P.V.A. Fine. 2011. Disentangling stand and environmentalcorrelates of aboveground biomass in Amazonian forests. Global Change Biology 17:2677-2688.",Various,"Tropical (rainforest, monsoon, savannah) & Temperate dry summer warm summer",Forest,Terra firme clay forest,Natural,2011,Wet,All year,Marked,Expanding,Grid,5-8 newly expanding leaves from saplings marked and censused bi-weekly until fully expanded (10 months),NA,Species level data provided by author,7.9,SD,4.2,4,NA,NA,NA,Insecta (general)
